X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
978066.83999634,171200.38999939,86.30000305,18.000000,-22.000000,1.000000,1.000000,1.000000,63836.872708,2018.000000
978033.75000000,171229.89999390,116.00000000,81.000000,9.000000,1.000000,1.000000,1.000000,71407.881985,1657.000000
978032.83000183,171176.14999390,119.83999634,43.000000,25.000000,1.000000,1.000000,1.000000,61165.940579,1517.000000
978020.79999924,171235.47000122,105.77999878,40.000000,14.000000,1.000000,1.000000,1.000000,61445.769436,1670.000000
978026.29999924,171219.32000732,113.16000366,17.000000,14.000000,1.000000,1.000000,1.000000,63980.125638,1668.000000
978063.99000168,171195.19999695,104.87999725,81.000000,10.000000,1.000000,2.000000,2.000000,71408.279446,2028.000000
978056.27999878,171217.36000061,112.72000122,82.000000,7.000000,1.000000,1.000000,1.000000,71255.049954,1672.000000
978044.86999893,171195.89999390,115.98000336,83.000000,-18.000000,1.000000,1.000000,1.000000,71141.545071,1648.000000
978031.73999977,171164.96000671,118.09999847,57.000000,6.000000,1.000000,1.000000,1.000000,59595.456204,1620.000000
978017.96999931,171224.30999756,106.51000214,42.000000,-14.000000,1.000000,1.000000,1.000000,61264.563870,1666.000000
978049.45999908,171204.75000000,114.58000183,41.000000,-1.000000,1.000000,1.000000,1.000000,61355.185696,1705.000000
978030.75000000,171222.36000061,115.62999725,56.000000,8.000000,1.000000,1.000000,1.000000,59697.488919,1683.000000
978015.57999992,171178.41999817,114.65000153,54.000000,-20.000000,1.000000,1.000000,1.000000,59978.908352,1635.000000
978057.74000168,171210.50000000,110.23999786,43.000000,27.000000,1.000000,1.000000,1.000000,61165.715481,1574.000000
978039.59999847,171218.41999817,122.44000244,15.000000,-14.000000,1.000000,1.000000,1.000000,64222.920071,1429.000000
978023.97999954,171201.58000183,115.44999695,42.000000,-12.000000,1.000000,1.000000,1.000000,61264.676419,1651.000000
978026.20999908,171238.91999817,108.87999725,54.000000,-21.000000,1.000000,1.000000,1.000000,59978.135892,1549.000000
978031.70000076,171195.25000000,122.08000183,83.000000,-18.000000,1.000000,1.000000,1.000000,71141.402493,1627.000000
978072.23000336,171219.10000610,91.83000183,18.000000,-23.000000,1.000000,2.000000,1.000000,63837.150296,124.000000
978020.88999939,171187.78999329,116.33999634,43.000000,26.000000,1.000000,1.000000,1.000000,61166.128079,1582.000000
978062.56000137,171221.19999695,109.12999725,16.000000,2.000000,1.000000,1.000000,1.000000,64078.214505,1650.000000
978032.95999908,171175.91999817,119.73999786,15.000000,-15.000000,1.000000,1.000000,1.000000,64223.362942,1623.000000
