Id,Label,Depth
70955,70955,2
69836,69836,3
35281,35281,3
95020,95020,3
27772,27772,3
55363,55363,3
17465,17465,3
21631,21631,3
95736,95736,3
12199,12199,4
17939,17939,4
71755,71755,4
38181,38181,4
64779,64779,4
41296,41296,4
36314,36314,2
29161,29161,3
84991,84991,3
50812,50812,3
36163,36163,3
54205,54205,3
77371,77371,3
69655,69655,3
65661,65661,3
41205,41205,4
7910,7910,4
19473,19473,4
68025,68025,4
95447,95447,4
54657,54657,4
58613,58613,2
13202,13202,3
725,725,3
26446,26446,3
75256,75256,3
93163,93163,3
14471,14471,3
45437,45437,3
44088,44088,3
38661,38661,4
13542,13542,4
85238,85238,4
27647,27647,4
49742,49742,4
93205,93205,4
26846,26846,2
12404,12404,3
12289,12289,3
49807,49807,3
15823,15823,3
73004,73004,3
21983,21983,3
1480,1480,3
65707,65707,3
41937,41937,4
70074,70074,4
49522,49522,4
25598,25598,4
77409,77409,4
95002,95002,4
65097,65097,2
41574,41574,3
9799,9799,3
99282,99282,3
94939,94939,3
59918,59918,3
24447,24447,3
62728,62728,3
24929,24929,3
65803,65803,4
96348,96348,4
38319,38319,4
45181,45181,4
23834,23834,4
67163,67163,4
70317,70317,2
37755,37755,3
31879,31879,3
95840,95840,3
52084,52084,3
84885,84885,3
32733,32733,3
58324,58324,3
11149,11149,3
76776,76776,4
77172,77172,4
5160,5160,4
55402,55402,4
77222,77222,4
25657,25657,4
84446,84446,2
91680,91680,3
51554,51554,3
248,248,3
69414,69414,3
24269,24269,3
34465,34465,3
6328,6328,3
46334,46334,3
32348,32348,4
78614,78614,4
31245,31245,4
22729,22729,4
11381,11381,4
59724,59724,4
2703,2703,2
64655,64655,3
95451,95451,3
23614,23614,3
44694,44694,3
5596,5596,3
15221,15221,3
32540,32540,3
81180,81180,3
93160,93160,4
13502,13502,4
7726,7726,4
98987,98987,4
68242,68242,4
1455,1455,4
99784,99784,1
9962,9962,2
46357,46357,3
4057,4057,3
9644,9644,3
50796,50796,3
77160,77160,3
44424,44424,3
92179,92179,3
74392,74392,3
90169,90169,4
41958,41958,4
32457,32457,4
41807,41807,4
61513,61513,4
61924,61924,4
90611,90611,2
57611,57611,3
99830,99830,3
35491,35491,3
60903,60903,3
21001,21001,3
95932,95932,3
84753,84753,3
87942,87942,3
9948,9948,4
5028,5028,4
60129,60129,4
20966,20966,4
23178,23178,4
76949,76949,4
50019,50019,2
73384,73384,3
55036,55036,3
73124,73124,3
16152,16152,3
57860,57860,3
78937,78937,3
95147,95147,3
66304,66304,3
18609,18609,4
49754,49754,4
24311,24311,4
15559,15559,4
74606,74606,4
41059,41059,4
74119,74119,2
54753,54753,3
62953,62953,3
19477,19477,3
18060,18060,3
45216,45216,3
7301,7301,3
74403,74403,3
33983,33983,3
4368,4368,4
13312,13312,4
44195,44195,4
94967,94967,4
33331,33331,4
24704,24704,4
86751,86751,2
15726,15726,3
97204,97204,3
22313,22313,3
93430,93430,3
54334,54334,3
21710,21710,3
21306,21306,3
74695,74695,3
58185,58185,4
87499,87499,4
56817,56817,4
36370,36370,4
57781,57781,4
7266,7266,4
53658,53658,2
13144,13144,3
34994,34994,3
34572,34572,3
10424,10424,3
30888,30888,3
18764,18764,3
57686,57686,3
97019,97019,3
83216,83216,4
88184,88184,4
46141,46141,4
79959,79959,4
65510,65510,4
90266,90266,4
61740,61740,2
11810,11810,3
30429,30429,3
44692,44692,3
74158,74158,3
89335,89335,3
853,853,3
56256,56256,3
48853,48853,3
90754,90754,4
34607,34607,4
44710,44710,4
340,340,4
77361,77361,4
79783,79783,4
88399,88399,2
63773,63773,3
88801,88801,3
84082,84082,3
33075,33075,3
91482,91482,3
30009,30009,3
14193,14193,3
47909,47909,3
31987,31987,4
80285,80285,4
7312,7312,4
36481,36481,4
39823,39823,4
29208,29208,4
22762,22762,1
61178,61178,2
14593,14593,3
91947,91947,3
15166,15166,3
37236,37236,3
86513,86513,3
88129,88129,3
96970,96970,3
25688,25688,3
72996,72996,4
58730,58730,4
34439,34439,4
5391,5391,4
81637,81637,4
58607,58607,4
49083,49083,2
93978,93978,3
2883,2883,3
24020,24020,3
45716,45716,3
96634,96634,3
54844,54844,3
10682,10682,3
4459,4459,3
96776,96776,4
2615,2615,4
58207,58207,4
45605,45605,4
6523,6523,4
68074,68074,4
92092,92092,2
45474,45474,3
82892,82892,3
